"","V1","V2","V3","V4","V5","V6","V7","V8"
"35",35,"Blue Startups","Gibi","20,000","seed","2013-09-16","Details",""
"36",36,"Blue Startups","SurroundsMe","20,000","seed","2013-04-29","Details",""
"37",37,"Blue Startups","Freshr","10,000","seed","2015-04-07","Details",""
"38",38,"Blue Startups","Jobrangers","20,000","seed","2014-10-17","Details",""
"39",39,"Blue Startups","Lifestyle Rewired","10,000","seed","2014-10-17","Details",""
"40",40,"Blue Startups","Workers On Call","20,000","seed","2013-09-13","Details",""
"41",41,"Blue Startups","Comprendio","20,000","seed","2014-04-08","Details",""
"42",42,"AngelPad","KeyReply","200,000","angel","2016-04-01","Details",""
"43",43,"Blue Startups","VRCHIVE","20,000","seed","2015-05-21","Details",""
"44",44,"Blue Startups","Lilikoi","10,000","seed","2014-10-17","Details",""
"45",45,"Blue Startups","Tealet","240,000","undisclosed","2014-02-10","Details",""
"46",46,"Blue Startups","Happy Hour Pal","50,000","seed","2014-12-23","Details",""
"47",47,"Blue Startups","Happy Hour Pal","20,000","seed","2013-11-01","Details",""
"48",48,"Blue Startups","Sagely","20,000","seed","2014-01-23","Details",""
"49",49,"Blue Startups","Quic","20,000","seed","2014-04-10","Details",""
"50",50,"Blue Startups","Cultur","20,000","seed","2014-04-14","Details",""
"51",51,"Blue Startups","MeetingSift","815,000","seed","2015-02-12","Details",""
"52",52,"Blue Startups","Workers on Call","20,000","seed","2013-09-13","Details",""
"53",1,"InterWest Partners","Aptly","32,000,000","a","2008-09-30","",""
"54",2,"Pinnacle Ventures","Aptly","32,000,000","a","2008-09-30","",""
"55",3,"Three Arch Partners","Aptly","32,000,000","a","2008-09-30","",""
"56",4,"Versant Ventures","Aptly","32,000,000","a","2008-09-30","",""
"57",5,"Great Point Partners","Aptly","32,000,000","a","2008-09-30","",""
"58",6,"Charter Life Sciences","Aptly","32,000,000","a","2008-09-30","",""
"59",7,"Vivo Ventures","Aptly","32,000,000","a","2008-09-30","",""
"60",8,"Blue Startups","Tealet","70,000","undisclosed","2013-03-12","Details",""
"61",9,"Blue Startups","CandyBAR","20,000","seed","2015-03-03","Details",""
"62",10,"500 Startups","Vantage Sports","700,000","venture","2014-09-01","Details",""
