"","V1","V2","V3","V4","V5","V6","V7","V8"
"43",10,"Y Combinator","Casetext","1,800,000","seed","2013-10-01","Details",""
"44",11,"Y Combinator","Dr Chrono","675,000","seed","2011-07-14","Details",""
"45",12,"Y Combinator","JustRide","3,000,000","venture","2016-11-07","Details",""
"46",13,"Y Combinator","Fixed","650,000","seed","2015-02-03","Details","Exited"
"47",14,"Y Combinator","BlueCrew","2,500,000","seed","2015-09-01","Details",""
"48",15,"Y Combinator","MyVR","1,400,000","seed","2012-09-28","Details",""
"49",16,"Y Combinator","Validere","2,000,000","seed","2016-09-07","Details",""
"50",17,"Y Combinator","Rocketrip","3,000,000","venture","2014-07-14","Details",""
"51",18,"Y Combinator","Weebly","650,000","angel","2007-05-01","Details",""
"52",19,"Y Combinator","Caviar","13,000,000","venture","2014-04-28","Details","Exited"
"53",20,"Y Combinator","lvl5","2,000,000","seed","2017-07-21","Details",""
"54",21,"Y Combinator","SlidePay","1,300,000","seed","2012-06-25","Details","Dead"
"55",22,"Y Combinator","DocTalk","2,600,000","seed","2017-04-10","Details",""
"56",23,"Y Combinator","Science Exchange","25,000,000","venture","2016-03-23","Details",""
"57",24,"Y Combinator","The Mednet","1,300,000","seed","2017-07-01","Details",""
"58",25,"Y Combinator","Supr Daily","100,000,000","venture","2017-05-30","Details",""
"59",26,"Y Combinator","Cleanly","2,300,000","seed","2015-05-13","Details",""
"60",27,"Y Combinator","MailGun","1,100,000","seed","2011-05-13","Details",""
"61",28,"Y Combinator","Starcity","3,800,000","seed","2016-12-31","Details",""
"62",29,"Y Combinator","Kimono","5,000,000","seed","2016-02-15","Details","Exited"
"63",30,"Y Combinator","Comprehend Systems","1,200,000","seed","2011-11-08","Details",""
"64",31,"Y Combinator","BufferBox","1,000,000","seed","2012-08-01","Details","Exited"
"65",32,"Y Combinator","Perfect Audience","1,100,000","seed","2012-10-05","Details","Exited"
"66",33,"Y Combinator","Clever","3,000,000","seed","2012-10-22","Details",""
"67",34,"Y Combinator","Iris Automations","","seed","2016-08-31","Details",""
"68",35,"Y Combinator","ZeroCater","1,500,000","venture","2011-08-10","Details",""
"69",36,"Y Combinator","Wheelys Cafe","2,500,000","seed","2016-04-10","Details",""
"70",37,"Y Combinator","Circle Medical","2,900,000","seed","2015-11-20","Details",""
"71",38,"Y Combinator","Seed","5,000,000","venture","2015-10-24","Details",""
"72",39,"Y Combinator","CloudMedX","6,600,000","seed","2015-05-01","Details",""
"73",40,"Y Combinator","Instacart","8,500,000","venture","2013-04-04","Details",""
"74",41,"Y Combinator","Citus Data","1,650,000","seed","2012-06-27","Details",""
"75",42,"The Alchemist Accelerator","Rigetti Quantum Computing","2,500,000","seed","2014-04-15","Details",""
"76",43,"Y Combinator","Transcriptic","8,500,000","venture","2015-02-19","Details",""
"77",44,"Y Combinator","Pebble Technology","375,000","angel","2011-04-18","Details","Exited"
"78",45,"Y Combinator","Framed Data","2,000,000","seed","2014-12-11","Details","Exited"
