InvName	InvID1	InvID2	InvID3	InvID4	InvID5	InvID6	InvID7
99	Automattic	5070847941279744.csv	5365401793855488.csv	NA	NA	NA	NA	NA
100	autoXLR8R	5082088810217472.csv	747001.csv	NA	NA	NA	NA	NA
101	Avonmore Developments	5706629987172352.csv	6735623197032448.csv	NA	NA	NA	NA	NA
102	Axel Springer	5300840755625984.csv	6270800730521600.csv	NA	NA	NA	NA	NA
103	Barbara Corcoran	4746940428320768.csv	5669330175918080.csv	NA	NA	NA	NA	NA
104	Baris Yuksel	5706423912628224.csv	6391801501974528.csv	NA	NA	NA	NA	NA
105	Barry Silbert	5634017491681280.csv	6490833415045120.csv	NA	NA	NA	NA	NA
106	Ben Arbib	4993290076160000.csv	5763359504859136.csv	NA	NA	NA	NA	NA
107	Ben Lewis	5933936010067968.csv	6260589919731712.csv	NA	NA	NA	NA	NA
108	Ben Lin	4849861794988032.csv	5190910111383552.csv	NA	NA	NA	NA	NA
109	Ben Parr	5878653472735232.csv	6240381427515392.csv	NA	NA	NA	NA	NA
110	Betaspring	4869099771396096.csv	1002.csv	NA	NA	NA	NA	NA
111	Bethnal Green Ventures	6014869270691840.csv	5001.csv	NA	NA	NA	NA	NA
112	Bezos Expeditions	5171780238966784.csv	5678050133934080.csv	NA	NA	NA	NA	NA
113	Bharathram Thothadri	5746987982913536.csv	5760571131559936.csv	NA	NA	NA	NA	NA
114	Big Basin Capital	4884072144830464.csv	6094210054750208.csv	NA	NA	NA	NA	NA
115	Bill & Melinda Gates Foundation	4617133900169216.csv	6267783167868928.csv	NA	NA	NA	NA	NA
116	Bill Boebel	5091868211675136.csv	5662764496322560.csv	NA	NA	NA	NA	NA
117	Bill DeWitt III	4713754558201856.csv	5675377120772096.csv	NA	NA	NA	NA	NA
118	Bill Gross	4995699296960512.csv	5739761650106368.csv	NA	NA	NA	NA	NA
119	Bill Veghte	5959564251889664.csv	6195440429039616.csv	NA	NA	NA	NA	NA
120	Binh Tran	5699272674639872.csv	6010547220774912.csv	NA	NA	NA	NA	NA
121	BlackRock	5729167643508736.csv	6346594588819456.csv	NA	NA	NA	NA	NA
122	Blaine Cook	5137626763886592.csv	5505284583718912.csv	NA	NA	NA	NA	NA
123	Blake Krikorian	4534003499532288.csv	5671898146930688.csv	NA	NA	NA	NA	NA
124	blisce/	5752643917971456.csv	6237666660057088.csv	NA	NA	NA	NA	NA
125	Blue Startups	5436949208760320.csv	299008.csv	NA	NA	NA	NA	NA
126	Blueprint Health	5769615800008704.csv	2003.csv	NA	NA	NA	NA	NA
127	Blume Ventures	5687310972616704.csv	6265230728364032.csv	NA	NA	NA	NA	NA
128	BMW i Ventures	4664617078882304.csv	5746195427229696.csv	NA	NA	NA	NA	NA
129	Bo Feng	4848741387337728.csv	5194732246401024.csv	NA	NA	NA	NA	NA
130	Bobby Lent	5080591909257216.csv	5728996432019456.csv	NA	NA	NA	NA	NA
131	Bon Angels	5096842811408384.csv	5841734697222144.csv	NA	NA	NA	NA	NA
132	Boost VC	6197097485303808.csv	928008.csv	NA	NA	NA	NA	NA
133	Boris Putanec	5663163173306368.csv	6599790561329152.csv	NA	NA	NA	NA	NA
134	Boulder Ventures	4774797217103872.csv	5667828111769600.csv	NA	NA	NA	NA	NA
135	Box	5705867060051968.csv	5733573235572736.csv	NA	NA	NA	NA	NA
136	BR Ventures	4865755598290944.csv	6246187938086912.csv	NA	NA	NA	NA	NA
137	Brad Flora	5646768846929920.csv	6632821770682368.csv	NA	NA	NA	NA	NA
138	Brad Jones	5055752603435008.csv	5929347076587520.csv	NA	NA	NA	NA	NA
139	Braden Pollock	5177472718995456.csv	6651230537383936.csv	NA	NA	NA	NA	NA
140	Brand Ventures	4822177551482880.csv	5744384377094144.csv	NA	NA	NA	NA	NA
141	BrandProject	6301148688416768.csv	6399451648229376.csv	NA	NA	NA	NA	NA
142	Brava Invest	5173317455577088.csv	5847546735886336.csv	NA	NA	NA	NA	NA
143	Brenda Irwin	5667575665000448.csv	6745892958765056.csv	NA	NA	NA	NA	NA
144	Brian Hand	6191292732145664.csv	6210077077798912.csv	NA	NA	NA	NA	NA
145	Brian Lee	4682569610166272.csv	6462770904039424.csv	NA	NA	NA	NA	NA
146	Brian Matthews	5676863716327424.csv	5980391953399808.csv	NA	NA	NA	NA	NA
147	Brick & Mortar Ventures	5196622921203712.csv	6057571345498112.csv	NA	NA	NA	NA	NA
148	BrightStar Wisconsin Foundation	5746664065204224.csv	6328345780289536.csv	NA	NA	NA	NA	NA
149	Bruce Davis	4821720942772224.csv	5654926717878272.csv	NA	NA	NA	NA	NA
150	Bruce Jaffe	5261150555996160.csv	6702404397432832.csv	NA	NA	NA	NA	NA
151	Bruno Bowden	5163390947295232.csv	6065655811932160.csv	NA	NA	NA	NA	NA
152	BStartup	5691985792860160.csv	6267130202816512.csv	NA	NA	NA	NA	NA
153	BTCS	5407062678831104.csv	5665536612499456.csv	NA	NA	NA	NA	NA
154	Cabiedes & Partners	5687773939892224.csv	6103211005968384.csv	NA	NA	NA	NA	NA
155	Caerus Investment Partners	4865566351294464.csv	5478424885854208.csv	NA	NA	NA	NA	NA
156	California HealthCare Foundation	4970990517878784.csv	5805112446418944.csv	NA	NA	NA	NA	NA
157	Cambia Health Solutions	5890668467585024.csv	6317168111124480.csv	NA	NA	NA	NA	NA
158	Capital Factory	6539452012822528.csv	3003.csv	NA	NA	NA	NA	NA
159	Capital Innovators	5821280867581952.csv	275006.csv	NA	NA	NA	NA	NA
160	Capstone Partners Korea	4697773463044096.csv	5100938800922624.csv	NA	NA	NA	NA	NA
161	Carine Magescas	5351556027252736.csv	6572839410860032.csv	NA	NA	NA	NA	NA
