InvName	InvID1	InvID2	InvID3	InvID4	InvID5	InvID6	InvID7
598	SGVC	5387376159358976.csv	6267131876343808.csv	NA	NA	NA	NA	NA
599	Shailesh Rao	5059847619870720.csv	5713178805665792.csv	NA	NA	NA	NA	NA
600	Shana Fisher	5887881717481472.csv	6233439078449152.csv	NA	NA	NA	NA	NA
601	Shane Battier	5155734346006528.csv	5456441007669248.csv	NA	NA	NA	NA	NA
602	Shawn V. Gruver	6207364600430592.csv	6211399944503296.csv	NA	NA	NA	NA	NA
603	SherpaShare	4602201431343104.csv	6302539318296576.csv	NA	NA	NA	NA	NA
604	Shogo Kawada	5681096289157120.csv	6727438331543552.csv	NA	NA	NA	NA	NA
605	Shotput Ventures	5681848680185856.csv	2008.csv	NA	NA	NA	NA	NA
606	Simon Bichara	5417694467719168.csv	6576949388378112.csv	NA	NA	NA	NA	NA
607	Simon Whitfield	5383146946166784.csv	5746025121710080.csv	NA	NA	NA	NA	NA
608	Socialatom Ventures	5114436251549696.csv	6323465153937408.csv	NA	NA	NA	NA	NA
609	Solomon Hykes	5321714753863680.csv	5721903696183296.csv	NA	NA	NA	NA	NA
610	Solon Mack Capital	5346430877171712.csv	6528896715456512.csv	NA	NA	NA	NA	NA
611	Source Interlink Companies	5217599319179264.csv	5691664794386432.csv	NA	NA	NA	NA	NA
612	SP Investment Fund LLC	6165722333970432.csv	6262950205587456.csv	NA	NA	NA	NA	NA
613	Spark	5634130419122176.csv	6605863645085696.csv	NA	NA	NA	NA	NA
614	SparkLabs Accelerator	4906304254509056.csv	6571087563325440.csv	NA	NA	NA	NA	NA
615	Sparkland Capital	4827175958085632.csv	5765200003203072.csv	NA	NA	NA	NA	NA
616	Sridhar Iyengar	5753073829937152.csv	6263857181884416.csv	NA	NA	NA	NA	NA
617	Stage One Capital	5669200387375104.csv	6666279876296704.csv	NA	NA	NA	NA	NA
618	Stanford University	5727790498316288.csv	6499819531010048.csv	NA	NA	NA	NA	NA
619	Stanford University Venture Fund	5556602597801984.csv	5991873462140928.csv	NA	NA	NA	NA	NA
620	Start Capital	5147556812161024.csv	6195838250385408.csv	NA	NA	NA	NA	NA
621	Start Co.	5330802179047424.csv	6385961957064704.csv	NA	NA	NA	NA	NA
622	Start Fellows	5987202601320448.csv	6376707648913408.csv	NA	NA	NA	NA	NA
623	StartEngine	6063249124491264.csv	101001.csv	NA	NA	NA	NA	NA
624	StartFast Venture Accelerator	5809462459760640.csv	5007.csv	NA	NA	NA	NA	NA
625	Startl	5248579891363840.csv	7005.csv	NA	NA	NA	NA	NA
626	StartLabs	5117269151580160.csv	6190203911798784.csv	NA	NA	NA	NA	NA
627	Startup Wise Guys	6371651667099648.csv	3011.csv	NA	NA	NA	NA	NA
628	Startupbootcamp	5146455236935680.csv	7006.csv	NA	NA	NA	NA	NA
629	StartupHighway	5697022799642624.csv	123003.csv	NA	NA	NA	NA	NA
630	StartupYard	4899498912382976.csv	126005.csv	NA	NA	NA	NA	NA
631	Stefan Sharkansky	5744548458266624.csv	6213720606769152.csv	NA	NA	NA	NA	NA
632	Stephano Kim	4916996776919040.csv	5546784839434240.csv	NA	NA	NA	NA	NA
633	Stephen Bullock	5654185752133632.csv	6346178916515840.csv	NA	NA	NA	NA	NA
634	Stephen Killeen	5287693323862016.csv	5883771295367168.csv	NA	NA	NA	NA	NA
635	Steve Bennet	5709970683199488.csv	5820997831753728.csv	NA	NA	NA	NA	NA
636	Steve Chen	5214067413221376.csv	5938415430270976.csv	NA	NA	NA	NA	NA
637	Steve Gilpin	5682884488724480.csv	5978873883787264.csv	NA	NA	NA	NA	NA
638	Steve Kaufmann	5526789719851008.csv	5846652715794432.csv	NA	NA	NA	NA	NA
639	Steven Tamm	6156850005278720.csv	6348220993110016.csv	NA	NA	NA	NA	NA
640	Stonebridge Capital	4562309078843392.csv	5183185780473856.csv	NA	NA	NA	NA	NA
641	Straight Shot	4757759975227392.csv	5709156346494976.csv	NA	NA	NA	NA	NA
642	Strauss Zelnick	5428514425667584.csv	5758626287321088.csv	NA	NA	NA	NA	NA
643	Stripes Group	4790885967462400.csv	5768643342237696.csv	NA	NA	NA	NA	NA
644	Stuart Larkins	5458946986868736.csv	5666386294603776.csv	NA	NA	NA	NA	NA
645	Sujal Patel	5636564507951104.csv	6330906012811264.csv	NA	NA	NA	NA	NA
646	Summit Partners	4927071423823872.csv	5694355071303680.csv	NA	NA	NA	NA	NA
647	Sunghyun So	6216566169403392.csv	6718298238484480.csv	NA	NA	NA	NA	NA
648	Sunil Hirani	5212730873085952.csv	6276595065028608.csv	NA	NA	NA	NA	NA
649	Sunil Kalra	5339481666224128.csv	5640924235300864.csv	NA	NA	NA	NA	NA
650	Swarth Group	6070525738614784.csv	6106906179403776.csv	NA	NA	NA	NA	NA
651	SYD Ventures	5224649566715904.csv	5655755126472704.csv	NA	NA	NA	NA	NA
652	Sydney Angels Sidecar Fund	4576581074812928.csv	6366315602247680.csv	NA	NA	NA	NA	NA
653	Sze-jun Tsai	5735004856385536.csv	6023741360308224.csv	NA	NA	NA	NA	NA
654	Taiga Matsuyama	5692718068006912.csv	6435573426290688.csv	NA	NA	NA	NA	NA
655	Talent Equity Ventures	4734392178049024.csv	5701766825902080.csv	NA	NA	NA	NA	NA
656	Tandem Capital	6224332405604352.csv	6568335802105856.csv	NA	NA	NA	NA	NA
657	TANEO fund	5194046662246400.csv	5740121819185152.csv	NA	NA	NA	NA	NA
658	Tanja Lau	4847053330972672.csv	5920216328437760.csv	NA	NA	NA	NA	NA
659	Tech Wildcatters	6128266607853568.csv	8009.csv	NA	NA	NA	NA	NA
660	Technology Strategy Board	4668484264919040.csv	5455821295058944.csv	NA	NA	NA	NA	NA
661	Telluride Venture Accelerator	6484218179747840.csv	264002.csv	NA	NA	NA	NA	NA
662	TenOneTen Ventures	4777064523628544.csv	6219025440833536.csv	NA	NA	NA	NA	NA
663	The Brandery	5721099681660928.csv	2004.csv	NA	NA	NA	NA	NA
664	The Chernin Group	4762459210514432.csv	5192359696400384.csv	NA	NA	NA	NA	NA
665	The Difference Engine	5106183912292352.csv	5164020675903488.csv	NA	NA	NA	NA	NA
666	The Iron Yard	5492293515608064.csv	7008.csv	NA	NA	NA	NA	NA
667	The JumpFund	4572529247125504.csv	5718190965391360.csv	NA	NA	NA	NA	NA
668	the London Fund	5673352530231296.csv	6338816403046400.csv	NA	NA	NA	NA	NA
669	The Startup Factory	5152879652372480.csv	6646736030269440.csv	NA	NA	NA	NA	NA
670	The Vertical Group	5437265052434432.csv	5696709048926208.csv	NA	NA	NA	NA	NA
671	The Yield Lab	5553085778755584.csv	5667465501605888.csv	NA	NA	NA	NA	NA
672	The Yoshida Group	5424596912177152.csv	5765714325536768.csv	NA	NA	NA	NA	NA
673	Thomas Lehrman	5659057402675200.csv	6720464747495424.csv	NA	NA	NA	NA	NA
674	Tidhar Carmeli	5937982779424768.csv	6194822360596480.csv	NA	NA	NA	NA	NA
675	Tien Tzuo	5170988392120320.csv	5533333941387264.csv	NA	NA	NA	NA	NA
676	Tim Jackson	6272939355799552.csv	6324966379225088.csv	NA	NA	NA	NA	NA
677	Timothy Abbott	5535004012576768.csv	5948476458270720.csv	NA	NA	NA	NA	NA
678	TLabs	5702243030401024.csv	140003.csv	NA	NA	NA	NA	NA
679	Tom Fallows	5024505005080576.csv	5183665541742592.csv	NA	NA	NA	NA	NA
680	Tom Glocer	5723625525084160.csv	6088822194438144.csv	NA	NA	NA	NA	NA
681	Tom Keller	5641796314988544.csv	6134845956685824.csv	NA	NA	NA	NA	NA
682	Tom Noonan	5567942611697664.csv	5706016947699712.csv	NA	NA	NA	NA	NA
683	Tom Williams	5138844148039680.csv	5705353861791744.csv	NA	NA	NA	NA	NA
684	TomorrowVentures	5728678134677504.csv	6233003172823040.csv	NA	NA	NA	NA	NA
685	Top Tier Capital Partners	4515021346308096.csv	5191870791548928.csv	NA	NA	NA	NA	NA
686	Toubkal Partners	4922765639417856.csv	6506110336892928.csv	NA	NA	NA	NA	NA
687	Trellis Capital	4636964200382464.csv	5071105186332672.csv	NA	NA	NA	NA	NA
688	Trilogy	4552888596561920.csv	5762783211683840.csv	NA	NA	NA	NA	NA
689	Trilogy Equity Partners	5036569001984000.csv	6102510662057984.csv	NA	NA	NA	NA	NA
690	Trimaran Capital Partners	5005325828620288.csv	6251575840342016.csv	NA	NA	NA	NA	NA
691	TriVentures	5691936769835008.csv	6351548430942208.csv	NA	NA	NA	NA	NA
692	Troy Henikoff	5828884599668736.csv	6319162922106880.csv	NA	NA	NA	NA	NA
693	TTV Capital	6017750522658816.csv	6158149912363008.csv	NA	NA	NA	NA	NA
694	Tucker Max	5024619895455744.csv	5075112374042624.csv	NA	NA	NA	NA	NA
695	Tugboat Ventures	5767680078381056.csv	6261937117593600.csv	NA	NA	NA	NA	NA
696	Tumml	5626906384793600.csv	5730485825175552.csv	NA	NA	NA	NA	NA
697	TWJ Capital	5375535291039744.csv	5459234586099712.csv	NA	NA	NA	NA	NA
698	Two Sigma Ventures	5606279665942528.csv	5695628227117056.csv	NA	NA	NA	NA	NA
699	Ty Danco	4568489004105728.csv	5654307202400256.csv	NA	NA	NA	NA	NA
700	Udi Manber	5142287638069248.csv	5661015018569728.csv	NA	NA	NA	NA	NA
701	Umang Gupta	5674884575264768.csv	6647467961483264.csv	NA	NA	NA	NA	NA
702	Undisclosed	4729722713931776.csv	5075341500481536.csv	NA	NA	NA	NA	NA
703	Upstart Labs	6226413304676352.csv	296007.csv	NA	NA	NA	NA	NA
704	Vectr Ventures	5945176044339200.csv	6210842844463104.csv	NA	NA	NA	NA	NA
705	Velos Partners	5642835244089344.csv	6065472571179008.csv	NA	NA	NA	NA	NA
706	Velum Ventures	5955247893643264.csv	6201061727535104.csv	NA	NA	NA	NA	NA
707	Ventech	4667001054167040.csv	5654408150908928.csv	NA	NA	NA	NA	NA
708	Victor Alcantara	4518791388069888.csv	5124305469833216.csv	NA	NA	NA	NA	NA
709	Vijay Vashee	5413226120478720.csv	5742661440897024.csv	NA	NA	NA	NA	NA
710	Village Ventures	5691244978110464.csv	5976326229983232.csv	NA	NA	NA	NA	NA
711	Visionnaire Ventures	4534543960768512.csv	5746571454971904.csv	NA	NA	NA	NA	NA
712	Vivi Nevo	5671711986941952.csv	6433326319534080.csv	NA	NA	NA	NA	NA
713	Vodafone	5722345306062848.csv	5790672510517248.csv	NA	NA	NA	NA	NA
714	Walker Williams	5616648446803968.csv	5659433094873088.csv	NA	NA	NA	NA	NA
715	Walt Doyle	4825328144875520.csv	6570446510096384.csv	NA	NA	NA	NA	NA
716	Wayne Chang	5077077908783104.csv	5696257758593024.csv	NA	NA	NA	NA	NA
717	Wayne Pan	4929797457182720.csv	5334658149515264.csv	NA	NA	NA	NA	NA
718	Wayra	6623458083471360.csv	4882922146365440.csv	NA	NA	NA	NA	NA
719	Wei Guo	5149474145959936.csv	6262926230945792.csv	NA	NA	NA	NA	NA
720	WI Harper Group	5100175034941440.csv	5427442596446208.csv	NA	NA	NA	NA	NA
721	Will Ballard	5113159794819072.csv	6551908219092992.csv	NA	NA	NA	NA	NA
722	William Lohse	5644044394823680.csv	5916380733898752.csv	NA	NA	NA	NA	NA
723	Wing Venture Capital	4917156592484352.csv	5129051610021888.csv	NA	NA	NA	NA	NA
724	WME	5619130610745344.csv	5648831622414336.csv	NA	NA	NA	NA	NA
725	Xavier Niel	5445571351412736.csv	5663979082874880.csv	NA	NA	NA	NA	NA
726	XSeed Capital	4834546344263680.csv	5684436012105728.csv	NA	NA	NA	NA	NA
727	Y Combinator	5423042540863488.csv	1011.csv	NA	NA	NA	NA	NA
728	Yadin Kaufmann	5105861638750208.csv	6503940413718528.csv	NA	NA	NA	NA	NA
729	Yair Schindel	5142139616886784.csv	6598331883061248.csv	NA	NA	NA	NA	NA
730	YEI Innovation Fund	5687539008536576.csv	6310608626515968.csv	NA	NA	NA	NA	NA
731	YEurope	6142019625811968.csv	7009.csv	NA	NA	NA	NA	NA
732	Young Guo	5077734451576832.csv	6587891220217856.csv	NA	NA	NA	NA	NA
733	Yuchun Lee	5647203141943296.csv	6660387407659008.csv	NA	NA	NA	NA	NA
734	ZeroTo510	5765588882292736.csv	1027003.csv	NA	NA	NA	NA	NA
735	ZhenFund	6583333291032576.csv	6595152936173568.csv	NA	NA	NA	NA	NA
736	ü¾¶”¼lvaro Noaü¾Œ£¤¼n Larrinaga	4764055638114304.csv	5153156107337728.csv	NA	NA	NA	NA	NA
737	ü¾¶”¼lvaro Sanmartü¾Œ£¤¼n	5203638695755776.csv	5711451188625408.csv	NA	NA	NA	NA	NA
738	ü¾¶”¼lvaro Zamü¾³ ¼cola	5068066899623936.csv	5719386287505408.csv	NA	NA	NA	NA	NA
739	Le Camping	6279014150832128.csv	135008.csv	NA	NA	NA	NA	NA
