"","InvName","InvID","InvWebsite"
"237","Alex Bard","5549618448302080","http://www.seed-db.com/investorgraph/investorview?investorid=5549618448302080"
"238","Alex Bartlett","5167446939926528","http://www.seed-db.com/investorgraph/investorview?investorid=5167446939926528"
"239","Alex Bresler","5890118351060992","http://www.seed-db.com/investorgraph/investorview?investorid=5890118351060992"
"240","Alex Chua","4690672871276544","http://www.seed-db.com/investorgraph/investorview?investorid=4690672871276544"
"241","Alex Chung","6345205003321344","http://www.seed-db.com/investorgraph/investorview?investorid=6345205003321344"
"242","Alex Diaz","5380608482082816","http://www.seed-db.com/investorgraph/investorview?investorid=5380608482082816"
"243","Alex Enchin","5418005433417728","http://www.seed-db.com/investorgraph/investorview?investorid=5418005433417728"
"244","Alex Giannikoulis","4731409830772736","http://www.seed-db.com/investorgraph/investorview?investorid=4731409830772736"
"245","Alex Hoye","6027257025921024","http://www.seed-db.com/investorgraph/investorview?investorid=6027257025921024"
"246","Alex Iskold","5734441712353280","http://www.seed-db.com/investorgraph/investorview?investorid=5734441712353280"
"247","Alex Khein","5235975340949504","http://www.seed-db.com/investorgraph/investorview?investorid=5235975340949504"
"248","Alex Le","5752898038267904","http://www.seed-db.com/investorgraph/investorview?investorid=5752898038267904"
"249","Alex Lloyd","5689234597871616","http://www.seed-db.com/investorgraph/investorview?investorid=5689234597871616"
"250","Alex Lloyd","6222501843566592","http://www.seed-db.com/investorgraph/investorview?investorid=6222501843566592"
"251","Alex Modelski","5688866623193088","http://www.seed-db.com/investorgraph/investorview?investorid=5688866623193088"
"252","Alex Modelski","6456568526667776","http://www.seed-db.com/investorgraph/investorview?investorid=6456568526667776"
"253","Alex Moore","5974063889514496","http://www.seed-db.com/investorgraph/investorview?investorid=5974063889514496"
"254","Alex Ott","6695086322614272","http://www.seed-db.com/investorgraph/investorview?investorid=6695086322614272"
"255","Alex Payne","5148270632370176","http://www.seed-db.com/investorgraph/investorview?investorid=5148270632370176"
"256","Alex Rainert","4764772864098304","http://www.seed-db.com/investorgraph/investorview?investorid=4764772864098304"
"257","Alex Rampell","6328874329702400","http://www.seed-db.com/investorgraph/investorview?investorid=6328874329702400"
"258","Alex Rigopulos","5921463928356864","http://www.seed-db.com/investorgraph/investorview?investorid=5921463928356864"
"259","Alex Welch","5638906624081920","http://www.seed-db.com/investorgraph/investorview?investorid=5638906624081920"
"260","Alex Zubillaga","5657517153583104","http://www.seed-db.com/investorgraph/investorview?investorid=5657517153583104"
"261","Alex van Someren","5579323884961792","http://www.seed-db.com/investorgraph/investorview?investorid=5579323884961792"
"262","Alexander Bruehl","6343570621464576","http://www.seed-db.com/investorgraph/investorview?investorid=6343570621464576"
"263","Alexander Chang","6533977540132864","http://www.seed-db.com/investorgraph/investorview?investorid=6533977540132864"
"264","Alexander Gerko","6661725168336896","http://www.seed-db.com/investorgraph/investorview?investorid=6661725168336896"
"265","Alexander Goldstein","4878823577354240","http://www.seed-db.com/investorgraph/investorview?investorid=4878823577354240"
"266","Alexander Kritikos","6313574465011712","http://www.seed-db.com/investorgraph/investorview?investorid=6313574465011712"
"267","Alexander Levy","4675134484905984","http://www.seed-db.com/investorgraph/investorview?investorid=4675134484905984"
"268","Alexander Saint-Amand","5915173269274624","http://www.seed-db.com/investorgraph/investorview?investorid=5915173269274624"
"269","Alexander Yu","6713722722582528","http://www.seed-db.com/investorgraph/investorview?investorid=6713722722582528"
"270","Alexandre Almajeanu","5388612568875008","http://www.seed-db.com/investorgraph/investorview?investorid=5388612568875008"
