Investor,Seed-DB code,Seed-DB webpage
AFSquare,4.96E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4955193464586240
AIA Konica Minolta Digital Health Accelerator,6.02E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6023516549808128
AIB Seed Capital Fund,5.95E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5952347331100672
AITV (Accelerate IT Ventures),4.77E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4770891854512128
AJ Vaynerchuk,5.89E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5889733951488000
AKQA,6.50E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6503481154207744
ALG International LLC,4.77E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4772572960915456
ALLVP,5.73E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5729914112180224
AM Partners,6.28E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6282592298991616
AMC Networks,5.27E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5266502253019136
AMD Ventures,5.19E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5186703811674112
AMD Ventures,6.49E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6487868276998144
AME Cloud Ventures,6.14E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6140324728537088
ANII,4.77E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4773703179042816
AOL Ventures,5.04E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5038532737368064
APAGM Services,4.96E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4963860154941440
"AQUITI Gestion (ACI, Aqui-Invest, Aquitaine Amor̤age)",5.10E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5104363869569024
ARC Angel Fund,4.92E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4917259260657664
ARC Angel Fund,5.63E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5629534317576192
ARTIS Ventures,5.77E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5765699427368960
AT&amp;T,4.57E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4570069203943424
ATA Ventures,5.71E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5711019661852672
ATX Seed Ventures,6.00E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5996304811425792
AVentures Capital,6.42E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6417212143304704
AXA Strategic Ventures,5.68E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5677184714801152
Aadil Mamujee,4.87E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4868100239392768
Aamer Abdullah,4.93E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4932346818068480
Aaref Hilaly,5.70E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5703382002040832
Aaron Bird,4.53E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4527088304390144
Aaron Harris,5.70E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5698253676871680
Aaron Houghton,4.67E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4667515447803904
Aaron Iba,6.20E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6202724697767936
Aaron Levie,4.79E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4787641421660160
Aaron Schiff,5.22E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5220429165756416
Aaron Stone,5.12E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5117232111681536
Aaron Stone,6.26E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6256988820340736
Aayush Phumbhra,6.29E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6287245791199232
Aber Whitcomb,5.41E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5413983615975424
Aberdare Ventures,4.55E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4549210070319104
Abhay Singhal,5.50E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5498929613373440
Abhishek Rungta,5.30E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5300212478246912
Abstract Ventures,5.16E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5156187079180288
Abundance Partners,5.08E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5078612566867968
Abundance Partners,5.72E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5720947747192832
Abundant Ventures LLC,5.37E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5367773387554816
Accel,5.83E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5833270973431808
Accel Partners,6.00E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6000854016458752
